CLASSEMENT DES DÉLÉGATIONS PAR PRÉCISION DES PARIS (15 ligne(s))
Métrique : (votes sur le vainqueur) / (total des votes), tous sports avec résultat.
----------------------------------------------------------------------------------------
Rang  Délégation                %Précision     Bons/total votes   Sports
----------------------------------------------------------------------------------------
1     Mines Alès                    45.87%            2302/5018       33
2     Mines Paris                   40.38%             468/1159       33
3     Mines Sainté                  38.37%            1568/4087       33
4     Télécom Paris                 36.62%                26/71        3
5     IMT A                         32.11%            1201/3740       33
6     Mines Albi                    25.51%            1164/4563       33
7     Eurecom                       23.19%              218/940       33
8     ENSIC                         22.22%                  2/9        9
9     Mines Nancy                   21.42%             867/4048       33
10    TSP                           20.58%              157/763       33
11    IMT NE                        17.30%             557/3220       33
12    Télécom Nancy                 17.11%               32/187       33
13    Alumni                        12.50%                  1/8        1
14    Ponts                          7.33%               17/232        5
15    ENSAIA                         0.00%                  0/1        1
